,Course,Course Number,Seats Remaining,Instructor,Semester,Waitlist Percent,Sem,Year,Risk Level
489,Operating Systems,518,12 of 50 seats remain,"Martinez, Jessica",Fall 2024,24.0,Fall,2024,Risky
490,Computer Networks,522,20 of 20 seats remain,"Rodriguez, Michael",Fall 2024,100.0,Fall,2024,No Risk
491,Artificial Intelligence,525,27 of 60 seats remain,"Rodriguez, Michael",Fall 2024,45.0,Fall,2024,Medium risk
492,Artificial Intelligence,527,27 of 60 seats remain,"Martinez, Jessica",Fall 2024,45.0,Fall,2024,Medium risk
493,Software Engineering,529,29 of 50 seats remain,"Williams, David",Fall 2024,57.99999999999999,Fall,2024,Medium risk
494,Operating Systems,530,23 of 40 seats remain,"Smith, John",Fall 2024,57.49999999999999,Fall,2024,Medium risk
495,Intro to Programming,531,11 of 40 seats remain,"Williams, David",Fall 2024,27.500000000000004,Fall,2024,Risky
496,Data Structures,532,49 of 60 seats remain,"Garcia, Maria",Fall 2024,81.66666666666667,Fall,2024,No Risk
497,Artificial Intelligence,532,20 of 30 seats remain,"Johnson, Emily",Fall 2024,66.66666666666666,Fall,2024,Low Risk
498,Computer Networks,534,46 of 50 seats remain,"Smith, John",Fall 2024,92.0,Fall,2024,No Risk
499,Database Systems,540,4 of 40 seats remain,"Martinez, Jessica",Fall 2024,10.0,Fall,2024,Very Risky
500,Software Engineering,540,14 of 20 seats remain,"Garcia, Maria",Fall 2024,70.0,Fall,2024,Low Risk
501,Data Structures,540,6 of 30 seats remain,"Miller, James",Fall 2024,20.0,Fall,2024,Very Risky
502,Intro to Programming,540,26 of 50 seats remain,"Garcia, Maria",Fall 2024,52.0,Fall,2024,Medium risk
503,Data Structures,541,12 of 20 seats remain,"Jones, Robert",Fall 2024,60.0,Fall,2024,Medium risk
504,Software Engineering,541,47 of 70 seats remain,"Williams, David",Fall 2024,67.14285714285714,Fall,2024,Low Risk
505,Operating Systems,542,19 of 50 seats remain,"Martinez, Jessica",Fall 2024,38.0,Fall,2024,Risky
506,Operating Systems,542,58 of 70 seats remain,"Garcia, Maria",Fall 2024,82.85714285714286,Fall,2024,No Risk
507,Machine Learning,545,1 of 20 seats remain,"Williams, David",Fall 2024,5.0,Fall,2024,Very Risky
508,Database Systems,546,2 of 20 seats remain,"Miller, James",Fall 2024,10.0,Fall,2024,Very Risky
509,Data Structures,551,18 of 20 seats remain,"Martinez, Jessica",Fall 2024,90.0,Fall,2024,No Risk
510,Artificial Intelligence,553,3 of 30 seats remain,"Garcia, Maria",Fall 2024,10.0,Fall,2024,Very Risky
511,Computer Networks,559,15 of 20 seats remain,"Garcia, Maria",Fall 2024,75.0,Fall,2024,Low Risk
512,Operating Systems,561,18 of 50 seats remain,"Rodriguez, Michael",Fall 2024,36.0,Fall,2024,Risky
513,Algorithms,564,54 of 60 seats remain,"Williams, David",Fall 2024,90.0,Fall,2024,No Risk
514,Machine Learning,565,9 of 40 seats remain,"Rodriguez, Michael",Fall 2024,22.5,Fall,2024,Risky
515,Software Engineering,566,12 of 20 seats remain,"Miller, James",Fall 2024,60.0,Fall,2024,Medium risk
516,Intro to Programming,567,50 of 70 seats remain,"Williams, David",Fall 2024,71.42857142857143,Fall,2024,Low Risk
517,Machine Learning,569,2 of 70 seats remain,"Garcia, Maria",Fall 2024,2.857142857142857,Fall,2024,Very Risky
518,Computer Architecture,569,29 of 60 seats remain,"Jones, Robert",Fall 2024,48.333333333333336,Fall,2024,Medium risk
519,Data Structures,571,33 of 40 seats remain,"Williams, David",Fall 2024,82.5,Fall,2024,No Risk
520,Machine Learning,572,8 of 30 seats remain,"Williams, David",Fall 2024,26.666666666666668,Fall,2024,Risky
521,Computer Architecture,573,32 of 40 seats remain,"Martinez, Jessica",Fall 2024,80.0,Fall,2024,Low Risk
522,Algorithms,574,3 of 20 seats remain,"Davis, Elizabeth",Fall 2024,15.0,Fall,2024,Very Risky
523,Computer Architecture,574,20 of 60 seats remain,"Davis, Elizabeth",Fall 2024,33.33333333333333,Fall,2024,Risky
524,Machine Learning,579,43 of 50 seats remain,"Jones, Robert",Fall 2024,86.0,Fall,2024,No Risk
525,Machine Learning,580,5 of 20 seats remain,"Martinez, Jessica",Fall 2024,25.0,Fall,2024,Risky
526,Theory/Application Data Mining,584,7 of 70 seats remain,"Zhou, Keren",Fall 2024,10.0,Fall,2024,Very Risky
527,Theory/Application Data Mining,584,51 of 70 seats remain,"Barbara, Daniel",Fall 2024,72.85714285714285,Fall,2024,Low Risk
528,Introduction to Cryptography,587,8 of 20 seats remain,"Ateniese, Giuseppe",Fall 2024,40.0,Fall,2024,Risky
529,Quantum Algorithms,595,0 of 2 seats remain,"Baume, Michael",Fall 2024,0.0,Fall,2024,Very Risky
530,AI Design and Deployment Risks,595,11 of 15 seats remain,"Cummings, Missy",Fall 2024,73.33333333333333,Fall,2024,Low Risk
531,AI Design and Deployment Risks,595,10 of 15 seats remain,"Cummings, Missy",Fall 2024,66.66666666666666,Fall,2024,Low Risk
532,Theory of Computation,600,44 of 60 seats remain,"Richards, Dana",Fall 2024,73.33333333333333,Fall,2024,Low Risk
533,Theory of Computation,600,28 of 50 seats remain,"Richards, Dana",Fall 2024,56.00000000000001,Fall,2024,Medium risk
534,Advanced Algorithms,630,17 of 50 seats remain,"Yaroslavtsev, Grigory",Fall 2024,34.0,Fall,2024,Risky
535,Wireless and Mobile Computing,655,11 of 50 seats remain,"Yao, Shuochao",Fall 2024,22.0,Fall,2024,Risky
536,Computational Design,663,31 of 65 seats remain,"Yu, Lap Fai",Fall 2024,47.69230769230769,Fall,2024,Medium risk
537,Advanced NLP,678,9 of 65 seats remain,"Yao, Ziyu",Fall 2024,13.846153846153847,Fall,2024,Very Risky
538,Computer Vision,682,17 of 53 seats remain,"Kosecka, Jana",Fall 2024,32.075471698113205,Fall,2024,Risky
539,Machine Learning,688,21 of 50 seats remain,"Yu, Fang-Yi",Fall 2024,42.0,Fall,2024,Medium risk
540,Machine Learning,688,20 of 50 seats remain,"Das, Sanmay",Fall 2024,40.0,Fall,2024,Risky
541,Network Security,692,3 of 10 seats remain,"Wang, Xinyuan",Fall 2024,30.0,Fall,2024,Risky
542,Linux Kernel Internals,692,28 of 40 seats remain,"Zhang, Xiaokuan",Fall 2024,70.0,Fall,2024,Low Risk
543,SWE Real-Time Embedded Systm,692,7 of 35 seats remain,"Pettit, Rob",Fall 2024,20.0,Fall,2024,Very Risky
544,Advanced Computer Architecture,692,38 of 50 seats remain,"Yang, Lishan",Fall 2024,76.0,Fall,2024,Low Risk
545,SWE Real-Time Embedded Systm,692,9 of 32 seats remain,"Pettit, Rob",Fall 2024,28.125,Fall,2024,Risky
546,Advanced Machine Learning,782,37 of 44 seats remain,"Liu, Mingrui",Fall 2024,84.0909090909091,Fall,2024,No Risk
547,Advanced Machine Learning,782,34 of 44 seats remain,"Barbara, Daniel",Fall 2024,77.27272727272727,Fall,2024,Low Risk
548,Decision Guidance Systems,787,11 of 50 seats remain,"Brodsky, Alexander",Fall 2024,22.0,Fall,2024,Risky
549,Computer Science Colloquium,800,5 of 60 seats remain,"Aydin, Hakan",Fall 2024,8.333333333333332,Fall,2024,Very Risky
550,Software Engineering,489,16 of 20 seats remain,"Davis, Elizabeth",Fall 2024,80.0,Fall,2024,Low Risk
551,Database Systems,344,14 of 30 seats remain,"Jones, Robert",Fall 2024,46.666666666666664,Fall,2024,Medium risk
552,Computer Architecture,401,1 of 60 seats remain,"Garcia, Maria",Fall 2024,1.6666666666666667,Fall,2024,Very Risky
553,Data Structures,283,17 of 60 seats remain,"Johnson, Emily",Fall 2024,28.333333333333332,Fall,2024,Risky
554,Database Systems,333,57 of 70 seats remain,"Miller, James",Fall 2024,81.42857142857143,Fall,2024,No Risk
555,Software Engineering,207,49 of 70 seats remain,"Johnson, Emily",Fall 2024,70.0,Fall,2024,Low Risk
556,Intro to Programming,540,26 of 50 seats remain,"Garcia, Maria",Fall 2024,52.0,Fall,2024,Medium risk
557,Artificial Intelligence,176,30 of 70 seats remain,"Johnson, Emily",Fall 2024,42.857142857142854,Fall,2024,Medium risk
558,Algorithms,315,4 of 20 seats remain,"Miller, James",Fall 2024,20.0,Fall,2024,Very Risky
559,Database Systems,344,16 of 30 seats remain,"Jones, Robert",Fall 2024,53.333333333333336,Fall,2024,Medium risk
560,Software Engineering,191,39 of 70 seats remain,"Miller, James",Fall 2024,55.714285714285715,Fall,2024,Medium risk
561,Data Structures,532,52 of 60 seats remain,"Garcia, Maria",Fall 2024,86.66666666666667,Fall,2024,No Risk
562,Artificial Intelligence,174,53 of 60 seats remain,"Rodriguez, Michael",Fall 2024,88.33333333333333,Fall,2024,No Risk
563,Artificial Intelligence,122,11 of 20 seats remain,"Miller, James",Fall 2024,55.00000000000001,Fall,2024,Medium risk
564,Intro to Programming,206,5 of 20 seats remain,"Williams, David",Fall 2024,25.0,Fall,2024,Risky
565,Intro to Programming,206,8 of 20 seats remain,"Williams, David",Fall 2024,40.0,Fall,2024,Risky
566,Machine Learning,327,30 of 40 seats remain,"Martinez, Jessica",Fall 2024,75.0,Fall,2024,Low Risk
567,Computer Architecture,439,0 of 30 seats remain,"Garcia, Maria",Fall 2024,0.0,Fall,2024,Very Risky
568,Computer Architecture,375,13 of 30 seats remain,"Johnson, Emily",Fall 2024,43.333333333333336,Fall,2024,Medium risk
569,Data Structures,541,14 of 20 seats remain,"Jones, Robert",Fall 2024,70.0,Fall,2024,Low Risk
570,Operating Systems,355,4 of 20 seats remain,"Brown, Linda",Fall 2024,20.0,Fall,2024,Very Risky
571,Software Engineering,295,15 of 50 seats remain,"Brown, Linda",Fall 2024,30.0,Fall,2024,Risky
572,Database Systems,488,10 of 40 seats remain,"Brown, Linda",Fall 2024,25.0,Fall,2024,Risky
573,Database Systems,309,15 of 20 seats remain,"Davis, Elizabeth",Fall 2024,75.0,Fall,2024,Low Risk
574,Computer Vision,682,16 of 53 seats remain,"Kosecka, Jana",Fall 2024,30.18867924528302,Fall,2024,Risky
575,Database Systems,546,1 of 20 seats remain,"Miller, James",Fall 2024,5.0,Fall,2024,Very Risky
576,Machine Learning,182,44 of 50 seats remain,"Davis, Elizabeth",Fall 2024,88.0,Fall,2024,No Risk
577,Machine Learning,150,13 of 30 seats remain,"Martinez, Jessica",Fall 2024,43.333333333333336,Fall,2024,Medium risk
578,Computer Architecture,375,10 of 30 seats remain,"Johnson, Emily",Fall 2024,33.33333333333333,Fall,2024,Risky
579,Machine Learning,572,9 of 30 seats remain,"Williams, David",Fall 2024,30.0,Fall,2024,Risky
580,Computer Networks,140,26 of 40 seats remain,"Garcia, Maria",Fall 2024,65.0,Fall,2024,Low Risk
581,Algorithms,322,9 of 30 seats remain,"Garcia, Maria",Fall 2024,30.0,Fall,2024,Risky
582,Machine Learning,384,25 of 40 seats remain,"Rodriguez, Michael",Fall 2024,62.5,Fall,2024,Low Risk
583,Software Engineering,566,14 of 20 seats remain,"Miller, James",Fall 2024,70.0,Fall,2024,Low Risk
584,Wireless and Mobile Computing,655,10 of 50 seats remain,"Yao, Shuochao",Fall 2024,20.0,Fall,2024,Very Risky
585,Artificial Intelligence,121,28 of 70 seats remain,"Smith, John",Fall 2024,40.0,Fall,2024,Risky
586,Data Structures,199,14 of 50 seats remain,"Johnson, Emily",Fall 2024,28.000000000000004,Fall,2024,Risky
587,Data Structures,173,15 of 30 seats remain,"Smith, John",Fall 2024,50.0,Fall,2024,Medium risk
588,Advanced Machine Learning,782,36 of 44 seats remain,"Liu, Mingrui",Fall 2024,81.81818181818183,Fall,2024,No Risk
589,Intro to Programming,443,0 of 50 seats remain,"Brown, Linda",Fall 2024,0.0,Fall,2024,Very Risky
590,SWE Real-Time Embedded Systm,692,8 of 35 seats remain,"Pettit, Rob",Fall 2024,22.857142857142858,Fall,2024,Risky
591,Data Structures,341,12 of 20 seats remain,"Williams, David",Fall 2024,60.0,Fall,2024,Medium risk
592,Algorithms,212,27 of 50 seats remain,"Miller, James",Fall 2024,54.0,Fall,2024,Medium risk
593,Computational Design,663,34 of 65 seats remain,"Yu, Lap Fai",Fall 2024,52.307692307692314,Fall,2024,Medium risk
594,Algorithms,394,23 of 30 seats remain,"Smith, John",Fall 2024,76.66666666666667,Fall,2024,Low Risk
595,Computer Vision,682,15 of 53 seats remain,"Kosecka, Jana",Fall 2024,28.30188679245283,Fall,2024,Risky
596,Intro to Programming,420,21 of 30 seats remain,"Johnson, Emily",Fall 2024,70.0,Fall,2024,Low Risk
597,Algorithms,394,21 of 30 seats remain,"Smith, John",Fall 2024,70.0,Fall,2024,Low Risk
598,Algorithms,200,44 of 60 seats remain,"Martinez, Jessica",Fall 2024,73.33333333333333,Fall,2024,Low Risk
599,Intro to Programming,372,6 of 20 seats remain,"Rodriguez, Michael",Fall 2024,30.0,Fall,2024,Risky
600,Computer Networks,107,19 of 70 seats remain,"Davis, Elizabeth",Spring 2022,27.142857142857142,Spring,2022,Risky
601,Computer Architecture,109,6 of 30 seats remain,"Smith, John",Spring 2022,20.0,Spring,2022,Very Risky
602,Intro to Programming,112,22 of 30 seats remain,"Martinez, Jessica",Spring 2022,73.33333333333333,Spring,2022,Low Risk
603,Computer Architecture,114,31 of 50 seats remain,"Smith, John",Spring 2022,62.0,Spring,2022,Low Risk
604,Data Structures,117,61 of 70 seats remain,"Jones, Robert",Spring 2022,87.14285714285714,Spring,2022,No Risk
605,Data Structures,118,23 of 30 seats remain,"Johnson, Emily",Spring 2022,76.66666666666667,Spring,2022,Low Risk
606,Artificial Intelligence,121,27 of 70 seats remain,"Smith, John",Spring 2022,38.57142857142858,Spring,2022,Risky
607,Intro to Programming,121,15 of 50 seats remain,"Garcia, Maria",Spring 2022,30.0,Spring,2022,Risky
608,Artificial Intelligence,122,12 of 20 seats remain,"Miller, James",Spring 2022,60.0,Spring,2022,Medium risk
609,Data Structures,124,8 of 20 seats remain,"Rodriguez, Michael",Spring 2022,40.0,Spring,2022,Risky
610,Operating Systems,128,15 of 60 seats remain,"Johnson, Emily",Spring 2022,25.0,Spring,2022,Risky
611,Operating Systems,129,41 of 70 seats remain,"Williams, David",Spring 2022,58.57142857142858,Spring,2022,Medium risk
612,Computer Networks,131,11 of 20 seats remain,"Brown, Linda",Spring 2022,55.00000000000001,Spring,2022,Medium risk
613,Intro to Programming,131,18 of 60 seats remain,"Martinez, Jessica",Spring 2022,30.0,Spring,2022,Risky
614,Artificial Intelligence,132,21 of 50 seats remain,"Martinez, Jessica",Spring 2022,42.0,Spring,2022,Medium risk
615,Machine Learning,135,3 of 50 seats remain,"Smith, John",Spring 2022,6.0,Spring,2022,Very Risky
616,Computer Networks,140,28 of 40 seats remain,"Garcia, Maria",Spring 2022,70.0,Spring,2022,Low Risk
617,Data Structures,148,49 of 60 seats remain,"Garcia, Maria",Spring 2022,81.66666666666667,Spring,2022,No Risk
618,Computer Architecture,149,7 of 20 seats remain,"Smith, John",Spring 2022,35.0,Spring,2022,Risky
619,Computer Architecture,149,0 of 30 seats remain,"Jones, Robert",Spring 2022,0.0,Spring,2022,Very Risky
620,Computer Architecture,150,31 of 70 seats remain,"Jones, Robert",Spring 2022,44.285714285714285,Spring,2022,Medium risk
621,Machine Learning,150,12 of 30 seats remain,"Martinez, Jessica",Spring 2022,40.0,Spring,2022,Risky
622,Artificial Intelligence,152,15 of 20 seats remain,"Smith, John",Spring 2022,75.0,Spring,2022,Low Risk
623,Intro to Programming,161,49 of 60 seats remain,"Davis, Elizabeth",Spring 2022,81.66666666666667,Spring,2022,No Risk
624,Computer Architecture,163,13 of 40 seats remain,"Smith, John",Spring 2022,32.5,Spring,2022,Risky
625,Data Structures,163,26 of 40 seats remain,"Garcia, Maria",Spring 2022,65.0,Spring,2022,Low Risk
626,Data Structures,163,21 of 30 seats remain,"Johnson, Emily",Spring 2022,70.0,Spring,2022,Low Risk
627,Operating Systems,163,22 of 70 seats remain,"Garcia, Maria",Spring 2022,31.428571428571427,Spring,2022,Risky
628,Intro to Programming,164,21 of 60 seats remain,"Smith, John",Spring 2022,35.0,Spring,2022,Risky
629,Database Systems,170,36 of 40 seats remain,"Martinez, Jessica",Spring 2022,90.0,Spring,2022,No Risk
630,Intro to Programming,171,6 of 30 seats remain,"Miller, James",Spring 2022,20.0,Spring,2022,Very Risky
631,Software Engineering,172,19 of 40 seats remain,"Smith, John",Spring 2022,47.5,Spring,2022,Medium risk
632,Data Structures,173,14 of 30 seats remain,"Smith, John",Spring 2022,46.666666666666664,Spring,2022,Medium risk
633,Artificial Intelligence,174,51 of 60 seats remain,"Rodriguez, Michael",Spring 2022,85.0,Spring,2022,No Risk
634,Software Engineering,175,8 of 70 seats remain,"Smith, John",Spring 2022,11.428571428571429,Spring,2022,Very Risky
635,Algorithms,175,8 of 60 seats remain,"Johnson, Emily",Spring 2022,13.333333333333334,Spring,2022,Very Risky
636,Artificial Intelligence,176,31 of 70 seats remain,"Johnson, Emily",Spring 2022,44.285714285714285,Spring,2022,Medium risk
637,Software Engineering,177,25 of 60 seats remain,"Jones, Robert",Spring 2022,41.66666666666667,Spring,2022,Medium risk
638,Machine Learning,182,48 of 50 seats remain,"Davis, Elizabeth",Spring 2022,96.0,Spring,2022,No Risk
639,Computer Architecture,187,32 of 40 seats remain,"Williams, David",Spring 2022,80.0,Spring,2022,Low Risk
640,Software Engineering,191,38 of 70 seats remain,"Miller, James",Spring 2022,54.285714285714285,Spring,2022,Medium risk
641,Software Engineering,199,45 of 60 seats remain,"Brown, Linda",Spring 2022,75.0,Spring,2022,Low Risk
642,Data Structures,199,13 of 50 seats remain,"Johnson, Emily",Spring 2022,26.0,Spring,2022,Risky
643,Algorithms,200,41 of 60 seats remain,"Martinez, Jessica",Spring 2022,68.33333333333333,Spring,2022,Low Risk
644,Intro to Programming,206,4 of 20 seats remain,"Williams, David",Spring 2022,20.0,Spring,2022,Very Risky
645,Software Engineering,207,49 of 70 seats remain,"Johnson, Emily",Spring 2022,70.0,Spring,2022,Low Risk
646,Operating Systems,207,24 of 50 seats remain,"Rodriguez, Michael",Spring 2022,48.0,Spring,2022,Medium risk
647,Computer Architecture,211,23 of 30 seats remain,"Johnson, Emily",Spring 2022,76.66666666666667,Spring,2022,Low Risk
648,Artificial Intelligence,212,29 of 60 seats remain,"Williams, David",Spring 2022,48.333333333333336,Spring,2022,Medium risk
649,Algorithms,212,30 of 50 seats remain,"Miller, James",Spring 2022,60.0,Spring,2022,Medium risk
650,Machine Learning,218,34 of 40 seats remain,"Rodriguez, Michael",Spring 2022,85.0,Spring,2022,No Risk
651,Computer Architecture,220,42 of 70 seats remain,"Williams, David",Spring 2022,60.0,Spring,2022,Medium risk
652,Data Structures,222,17 of 20 seats remain,"Smith, John",Spring 2022,85.0,Spring,2022,No Risk
653,Data Structures,226,31 of 40 seats remain,"Davis, Elizabeth",Spring 2022,77.5,Spring,2022,Low Risk
654,Software Engineering,227,18 of 60 seats remain,"Johnson, Emily",Spring 2022,30.0,Spring,2022,Risky
655,Intro to Programming,228,22 of 30 seats remain,"Garcia, Maria",Spring 2022,73.33333333333333,Spring,2022,Low Risk
656,Data Structures,236,11 of 50 seats remain,"Smith, John",Spring 2022,22.0,Spring,2022,Risky
657,Artificial Intelligence,236,14 of 50 seats remain,"Brown, Linda",Spring 2022,28.000000000000004,Spring,2022,Risky
658,Machine Learning,237,9 of 20 seats remain,"Davis, Elizabeth",Spring 2022,45.0,Spring,2022,Medium risk
659,Computer Architecture,243,43 of 70 seats remain,"Johnson, Emily",Spring 2022,61.42857142857143,Spring,2022,Low Risk
660,Computer Networks,250,4 of 20 seats remain,"Miller, James",Spring 2022,20.0,Spring,2022,Very Risky
661,Machine Learning,251,15 of 20 seats remain,"Johnson, Emily",Spring 2022,75.0,Spring,2022,Low Risk
662,Operating Systems,252,23 of 30 seats remain,"Miller, James",Spring 2022,76.66666666666667,Spring,2022,Low Risk
663,Machine Learning,252,4 of 50 seats remain,"Garcia, Maria",Spring 2022,8.0,Spring,2022,Very Risky
664,Algorithms,252,20 of 40 seats remain,"Davis, Elizabeth",Spring 2022,50.0,Spring,2022,Medium risk
665,Data Structures,253,39 of 50 seats remain,"Miller, James",Spring 2022,78.0,Spring,2022,Low Risk
666,Machine Learning,259,7 of 50 seats remain,"Jones, Robert",Spring 2022,14.000000000000002,Spring,2022,Very Risky
667,Computer Networks,260,3 of 20 seats remain,"Brown, Linda",Spring 2022,15.0,Spring,2022,Very Risky
668,Artificial Intelligence,263,31 of 60 seats remain,"Martinez, Jessica",Spring 2022,51.66666666666667,Spring,2022,Medium risk
669,Software Engineering,273,17 of 70 seats remain,"Miller, James",Spring 2022,24.285714285714285,Spring,2022,Risky
670,Software Engineering,278,11 of 30 seats remain,"Rodriguez, Michael",Spring 2022,36.666666666666664,Spring,2022,Risky
671,Computer Networks,278,17 of 70 seats remain,"Garcia, Maria",Spring 2022,24.285714285714285,Spring,2022,Risky
672,Artificial Intelligence,279,28 of 40 seats remain,"Brown, Linda",Spring 2022,70.0,Spring,2022,Low Risk
673,Artificial Intelligence,279,11 of 30 seats remain,"Miller, James",Spring 2022,36.666666666666664,Spring,2022,Risky
674,Database Systems,281,45 of 60 seats remain,"Jones, Robert",Spring 2022,75.0,Spring,2022,Low Risk
675,Computer Networks,281,17 of 20 seats remain,"Davis, Elizabeth",Spring 2022,85.0,Spring,2022,No Risk
676,Data Structures,283,16 of 60 seats remain,"Johnson, Emily",Spring 2022,26.666666666666668,Spring,2022,Risky
677,Intro to Programming,285,1 of 40 seats remain,"Martinez, Jessica",Spring 2022,2.5,Spring,2022,Very Risky
678,Algorithms,287,3 of 30 seats remain,"Smith, John",Spring 2022,10.0,Spring,2022,Very Risky
679,Software Engineering,291,13 of 30 seats remain,"Miller, James",Spring 2022,43.333333333333336,Spring,2022,Medium risk
680,Algorithms,292,25 of 50 seats remain,"Smith, John",Spring 2022,50.0,Spring,2022,Medium risk
681,Computer Networks,293,56 of 70 seats remain,"Brown, Linda",Spring 2022,80.0,Spring,2022,Low Risk
682,Computer Networks,294,8 of 60 seats remain,"Jones, Robert",Spring 2022,13.333333333333334,Spring,2022,Very Risky
683,Software Engineering,295,12 of 50 seats remain,"Brown, Linda",Spring 2022,24.0,Spring,2022,Risky
684,Data Structures,298,9 of 30 seats remain,"Davis, Elizabeth",Spring 2022,30.0,Spring,2022,Risky
685,Computer Networks,300,25 of 70 seats remain,"Martinez, Jessica",Spring 2022,35.714285714285715,Spring,2022,Risky
686,Computer Architecture,300,20 of 70 seats remain,"Martinez, Jessica",Spring 2022,28.57142857142857,Spring,2022,Risky
687,Data Structures,304,42 of 70 seats remain,"Williams, David",Spring 2022,60.0,Spring,2022,Medium risk
688,Database Systems,309,14 of 20 seats remain,"Davis, Elizabeth",Spring 2022,70.0,Spring,2022,Low Risk
689,Intro to Programming,315,38 of 60 seats remain,"Miller, James",Spring 2022,63.33333333333333,Spring,2022,Low Risk
690,Algorithms,315,6 of 20 seats remain,"Miller, James",Spring 2022,30.0,Spring,2022,Risky
691,Data Structures,315,5 of 70 seats remain,"Williams, David",Spring 2022,7.142857142857142,Spring,2022,Very Risky
692,Intro to Programming,318,32 of 40 seats remain,"Miller, James",Spring 2022,80.0,Spring,2022,Low Risk
693,Algorithms,322,8 of 30 seats remain,"Garcia, Maria",Spring 2022,26.666666666666668,Spring,2022,Risky
694,Operating Systems,323,21 of 30 seats remain,"Garcia, Maria",Spring 2022,70.0,Spring,2022,Low Risk
695,Data Structures,323,20 of 50 seats remain,"Martinez, Jessica",Spring 2022,40.0,Spring,2022,Risky
696,Data Structures,324,38 of 50 seats remain,"Rodriguez, Michael",Spring 2022,76.0,Spring,2022,Low Risk
697,Machine Learning,327,27 of 40 seats remain,"Martinez, Jessica",Spring 2022,67.5,Spring,2022,Low Risk
698,Data Structures,332,39 of 50 seats remain,"Smith, John",Spring 2022,78.0,Spring,2022,Low Risk
699,Database Systems,333,51 of 70 seats remain,"Miller, James",Spring 2022,72.85714285714285,Spring,2022,Low Risk
700,Artificial Intelligence,336,7 of 50 seats remain,"Smith, John",Spring 2022,14.000000000000002,Spring,2022,Very Risky
701,Data Structures,341,12 of 20 seats remain,"Williams, David",Spring 2022,60.0,Spring,2022,Medium risk
702,Database Systems,344,14 of 30 seats remain,"Jones, Robert",Spring 2022,46.666666666666664,Spring,2022,Medium risk
703,Operating Systems,344,32 of 70 seats remain,"Miller, James",Spring 2022,45.714285714285715,Spring,2022,Medium risk
704,Artificial Intelligence,345,27 of 40 seats remain,"Jones, Robert",Spring 2022,67.5,Spring,2022,Low Risk
705,Data Structures,354,5 of 60 seats remain,"Davis, Elizabeth",Spring 2022,8.333333333333332,Spring,2022,Very Risky
706,Operating Systems,355,4 of 20 seats remain,"Brown, Linda",Spring 2022,20.0,Spring,2022,Very Risky
707,Algorithms,356,28 of 60 seats remain,"Garcia, Maria",Spring 2022,46.666666666666664,Spring,2022,Medium risk
708,Artificial Intelligence,358,3 of 60 seats remain,"Williams, David",Spring 2022,5.0,Spring,2022,Very Risky
709,Computer Architecture,359,43 of 60 seats remain,"Smith, John",Spring 2022,71.66666666666667,Spring,2022,Low Risk
710,Software Engineering,360,18 of 50 seats remain,"Brown, Linda",Spring 2022,36.0,Spring,2022,Risky
711,Computer Networks,362,35 of 60 seats remain,"Johnson, Emily",Spring 2022,58.333333333333336,Spring,2022,Medium risk
712,Intro to Programming,365,10 of 20 seats remain,"Jones, Robert",Spring 2022,50.0,Spring,2022,Medium risk
713,Algorithms,369,3 of 60 seats remain,"Brown, Linda",Spring 2022,5.0,Spring,2022,Very Risky
714,Database Systems,369,18 of 20 seats remain,"Davis, Elizabeth",Spring 2022,90.0,Spring,2022,No Risk
715,Computer Architecture,372,29 of 70 seats remain,"Garcia, Maria",Spring 2022,41.42857142857143,Spring,2022,Medium risk
716,Intro to Programming,372,5 of 20 seats remain,"Rodriguez, Michael",Spring 2022,25.0,Spring,2022,Risky
717,Computer Networks,373,27 of 50 seats remain,"Brown, Linda",Spring 2022,54.0,Spring,2022,Medium risk
718,Computer Architecture,373,18 of 40 seats remain,"Miller, James",Spring 2022,45.0,Spring,2022,Medium risk
719,Software Engineering,375,35 of 70 seats remain,"Davis, Elizabeth",Spring 2022,50.0,Spring,2022,Medium risk
720,Computer Architecture,375,10 of 30 seats remain,"Johnson, Emily",Spring 2022,33.33333333333333,Spring,2022,Risky
721,Software Engineering,377,43 of 70 seats remain,"Jones, Robert",Spring 2022,61.42857142857143,Spring,2022,Low Risk
722,Algorithms,381,12 of 60 seats remain,"Garcia, Maria",Spring 2022,20.0,Spring,2022,Very Risky
723,Software Engineering,384,28 of 40 seats remain,"Smith, John",Spring 2022,70.0,Spring,2022,Low Risk
724,Machine Learning,384,23 of 40 seats remain,"Rodriguez, Michael",Spring 2022,57.49999999999999,Spring,2022,Medium risk
725,Computer Networks,387,21 of 40 seats remain,"Martinez, Jessica",Spring 2022,52.5,Spring,2022,Medium risk
726,Machine Learning,388,10 of 40 seats remain,"Brown, Linda",Spring 2022,25.0,Spring,2022,Risky
727,Computer Architecture,388,25 of 50 seats remain,"Johnson, Emily",Spring 2022,50.0,Spring,2022,Medium risk
728,Artificial Intelligence,392,12 of 60 seats remain,"Garcia, Maria",Spring 2022,20.0,Spring,2022,Very Risky
729,Algorithms,394,25 of 30 seats remain,"Smith, John",Spring 2022,83.33333333333334,Spring,2022,No Risk
730,Computer Networks,394,3 of 30 seats remain,"Rodriguez, Michael",Spring 2022,10.0,Spring,2022,Very Risky
731,Intro to Programming,397,43 of 50 seats remain,"Williams, David",Spring 2022,86.0,Spring,2022,No Risk
732,Computer Networks,397,16 of 50 seats remain,"Jones, Robert",Spring 2022,32.0,Spring,2022,Risky
