Course,Course Number,Seats Remaining,Instructor,Semester,Waitlist Percent,Sem,Year,Risk Level
Theory/Application Data Mining,584,51 of 70 seats remain,"Barbara, Daniel",Fall 2024,72.85714286,Fall,2024,Low Risk
Introduction to Cryptography,587,8 of 20 seats remain,"Ateniese, Giuseppe",Fall 2024,40,Fall,2024,Risky
Quantum Algorithms,595,FULL: 0 of 2 seats remain,"Baume, Michael",Fall 2024,0,Fall,2024,Very Risky
AI Design and Deployment Risks,595,11 of 15 seats remain,"Cummings, Missy",Fall 2024,73.33333333,Fall,2024,Low Risk
AI Design and Deployment Risks,595,10 of 15 seats remain,"Cummings, Missy",Fall 2024,66.66666667,Fall,2024,Low Risk
Theory of Computation,600,44 of 60 seats remain,"Richards, Dana",Fall 2024,73.33333333,Fall,2024,Low Risk
Theory of Computation,600,28 of 50 seats remain,"Richards, Dana",Fall 2024,56,Fall,2024,Medium risk
Advanced Algorithms,630,17 of 50 seats remain,"Yaroslavtsev, Grigory",Fall 2024,34,Fall,2024,Risky
Wireless and Mobile Computing,655,11 of 50 seats remain,"Yao, Shuochao",Fall 2024,22,Fall,2024,Risky
Computational Design,663,31 of 65 seats remain,"Yu, Lap Fai",Fall 2024,47.69230769,Fall,2024,Medium risk
Advanced NLP,678,9 of 65 seats remain,"Yao, Ziyu",Fall 2024,13.84615385,Fall,2024,Very Risky
Computer Vision,682,17 of 53 seats remain,"Kosecka, Jana",Fall 2024,32.0754717,Fall,2024,Risky
Machine Learning,688,21 of 50 seats remain,"Yu, Fang-Yi",Fall 2024,42,Fall,2024,Medium risk
Machine Learning,688,20 of 50 seats remain,"Das, Sanmay",Fall 2024,40,Fall,2024,Risky
Network Security,692,3 of 10 seats remain,"Wang, Xinyuan",Fall 2024,30,Fall,2024,Risky
Linux Kernel Internals,692,28 of 40 seats remain,"Zhang, Xiaokuan",Fall 2024,70,Fall,2024,Low Risk
SWE Real-Time Embedded Systm,692,7 of 35 seats remain,"Pettit, Rob",Fall 2024,20,Fall,2024,Very Risky
Advanced Computer Architecture,692,38 of 50 seats remain,"Yang, Lishan",Fall 2024,76,Fall,2024,Low Risk
SWE Real-Time Embedded Systm,692,9 of 32 seats remain,"Pettit, Rob",Fall 2024,28.125,Fall,2024,Risky
Advanced Machine Learning,782,37 of 44 seats remain,"Liu, Mingrui",Fall 2024,84.09090909,Fall,2024,No Risk
Advanced Machine Learning,782,34 of 44 seats remain,"Barbara, Daniel",Fall 2024,77.27272727,Fall,2024,Low Risk
Decision Guidance Systems,787,11 of 50 seats remain,"Brodsky, Alexander",Fall 2024,22,Fall,2024,Risky
Computer Science Colloquium,800,5 of 60 seats remain,"Aydin, Hakan",Fall 2024,8.333333333,Fall,2024,Very Risky
Software Engineering,489,16 of 20 seats remain,"Davis, Elizabeth",Fall 2024,80,Fall,2024,Low Risk
Database Systems,344,14 of 30 seats remain,"Jones, Robert",Fall 2024,46.66666667,Fall,2024,Medium risk
Computer Architecture,401,1 of 60 seats remain,"Garcia, Maria",Fall 2024,1.666666667,Fall,2024,Very Risky
Data Structures,283,17 of 60 seats remain,"Johnson, Emily",Fall 2024,28.33333333,Fall,2024,Risky
Database Systems,333,57 of 70 seats remain,"Miller, James",Fall 2024,81.42857143,Fall,2024,No Risk
Software Engineering,207,49 of 70 seats remain,"Johnson, Emily",Fall 2024,70,Fall,2024,Low Risk
Intro to Programming,540,26 of 50 seats remain,"Garcia, Maria",Fall 2024,52,Fall,2024,Medium risk
Artificial Intelligence,176,30 of 70 seats remain,"Johnson, Emily",Fall 2024,42.85714286,Fall,2024,Medium risk
Algorithms,315,4 of 20 seats remain,"Miller, James",Fall 2024,20,Fall,2024,Very Risky
Database Systems,344,16 of 30 seats remain,"Jones, Robert",Fall 2024,53.33333333,Fall,2024,Medium risk
Software Engineering,191,39 of 70 seats remain,"Miller, James",Fall 2024,55.71428571,Fall,2024,Medium risk
Data Structures,532,52 of 60 seats remain,"Garcia, Maria",Fall 2024,86.66666667,Fall,2024,No Risk
Artificial Intelligence,174,53 of 60 seats remain,"Rodriguez, Michael",Fall 2024,88.33333333,Fall,2024,No Risk
Artificial Intelligence,122,11 of 20 seats remain,"Miller, James",Fall 2024,55,Fall,2024,Medium risk
Intro to Programming,206,5 of 20 seats remain,"Williams, David",Fall 2024,25,Fall,2024,Risky
Intro to Programming,206,8 of 20 seats remain,"Williams, David",Fall 2024,40,Fall,2024,Risky
Machine Learning,327,30 of 40 seats remain,"Martinez, Jessica",Fall 2024,75,Fall,2024,Low Risk
Computer Architecture,439,FULL: 0 of 30 seats remain,"Garcia, Maria",Fall 2024,0,Fall,2024,Very Risky
Computer Architecture,375,13 of 30 seats remain,"Johnson, Emily",Fall 2024,43.33333333,Fall,2024,Medium risk
Data Structures,541,14 of 20 seats remain,"Jones, Robert",Fall 2024,70,Fall,2024,Low Risk
Operating Systems,355,4 of 20 seats remain,"Brown, Linda",Fall 2024,20,Fall,2024,Very Risky
Software Engineering,295,15 of 50 seats remain,"Brown, Linda",Fall 2024,30,Fall,2024,Risky
Database Systems,488,10 of 40 seats remain,"Brown, Linda",Fall 2024,25,Fall,2024,Risky
Database Systems,309,15 of 20 seats remain,"Davis, Elizabeth",Fall 2024,75,Fall,2024,Low Risk
Computer Vision,682,16 of 53 seats remain,"Kosecka, Jana",Fall 2024,30.18867925,Fall,2024,Risky
Database Systems,546,1 of 20 seats remain,"Miller, James",Fall 2024,5,Fall,2024,Very Risky
Machine Learning,182,44 of 50 seats remain,"Davis, Elizabeth",Fall 2024,88,Fall,2024,No Risk
Machine Learning,150,13 of 30 seats remain,"Martinez, Jessica",Fall 2024,43.33333333,Fall,2024,Medium risk
Computer Architecture,375,10 of 30 seats remain,"Johnson, Emily",Fall 2024,33.33333333,Fall,2024,Risky
Machine Learning,572,9 of 30 seats remain,"Williams, David",Fall 2024,30,Fall,2024,Risky
Computer Networks,140,26 of 40 seats remain,"Garcia, Maria",Fall 2024,65,Fall,2024,Low Risk
Algorithms,322,9 of 30 seats remain,"Garcia, Maria",Fall 2024,30,Fall,2024,Risky
Machine Learning,384,25 of 40 seats remain,"Rodriguez, Michael",Fall 2024,62.5,Fall,2024,Low Risk
Software Engineering,566,14 of 20 seats remain,"Miller, James",Fall 2024,70,Fall,2024,Low Risk
Wireless and Mobile Computing,655,10 of 50 seats remain,"Yao, Shuochao",Fall 2024,20,Fall,2024,Very Risky
Artificial Intelligence,121,28 of 70 seats remain,"Smith, John",Fall 2024,40,Fall,2024,Risky
Data Structures,199,14 of 50 seats remain,"Johnson, Emily",Fall 2024,28,Fall,2024,Risky
Data Structures,173,15 of 30 seats remain,"Smith, John",Fall 2024,50,Fall,2024,Medium risk
Advanced Machine Learning,782,36 of 44 seats remain,"Liu, Mingrui",Fall 2024,81.81818182,Fall,2024,No Risk
Intro to Programming,443,FULL: 0 of 50 seats remain,"Brown, Linda",Fall 2024,0,Fall,2024,Very Risky
SWE Real-Time Embedded Systm,692,8 of 35 seats remain,"Pettit, Rob",Fall 2024,22.85714286,Fall,2024,Risky
Data Structures,341,12 of 20 seats remain,"Williams, David",Fall 2024,60,Fall,2024,Medium risk
Algorithms,212,27 of 50 seats remain,"Miller, James",Fall 2024,54,Fall,2024,Medium risk
Computational Design,663,34 of 65 seats remain,"Yu, Lap Fai",Fall 2024,52.30769231,Fall,2024,Medium risk
Algorithms,394,23 of 30 seats remain,"Smith, John",Fall 2024,76.66666667,Fall,2024,Low Risk
Computer Vision,682,15 of 53 seats remain,"Kosecka, Jana",Fall 2024,28.30188679,Fall,2024,Risky
Intro to Programming,420,21 of 30 seats remain,"Johnson, Emily",Fall 2024,70,Fall,2024,Low Risk
Algorithms,394,21 of 30 seats remain,"Smith, John",Fall 2024,70,Fall,2024,Low Risk
Algorithms,200,44 of 60 seats remain,"Martinez, Jessica",Fall 2024,73.33333333,Fall,2024,Low Risk
Intro to Programming,372,6 of 20 seats remain,"Rodriguez, Michael",Fall 2024,30,Fall,2024,Risky
Computer Networks,107,19 of 70 seats remain,"Davis, Elizabeth",Spring 2022,27.14285714,Spring,2022,Risky
Computer Architecture,109,6 of 30 seats remain,"Smith, John",Spring 2022,20,Spring,2022,Very Risky
Intro to Programming,112,22 of 30 seats remain,"Martinez, Jessica",Spring 2022,73.33333333,Spring,2022,Low Risk
Computer Architecture,114,31 of 50 seats remain,"Smith, John",Spring 2022,62,Spring,2022,Low Risk
Data Structures,117,61 of 70 seats remain,"Jones, Robert",Spring 2022,87.14285714,Spring,2022,No Risk
Data Structures,118,23 of 30 seats remain,"Johnson, Emily",Spring 2022,76.66666667,Spring,2022,Low Risk
Artificial Intelligence,121,27 of 70 seats remain,"Smith, John",Spring 2022,38.57142857,Spring,2022,Risky
Intro to Programming,121,15 of 50 seats remain,"Garcia, Maria",Spring 2022,30,Spring,2022,Risky
Artificial Intelligence,122,12 of 20 seats remain,"Miller, James",Spring 2022,60,Spring,2022,Medium risk
Data Structures,124,8 of 20 seats remain,"Rodriguez, Michael",Spring 2022,40,Spring,2022,Risky
Operating Systems,128,15 of 60 seats remain,"Johnson, Emily",Spring 2022,25,Spring,2022,Risky
Operating Systems,129,41 of 70 seats remain,"Williams, David",Spring 2022,58.57142857,Spring,2022,Medium risk
Computer Networks,131,11 of 20 seats remain,"Brown, Linda",Spring 2022,55,Spring,2022,Medium risk
Intro to Programming,131,18 of 60 seats remain,"Martinez, Jessica",Spring 2022,30,Spring,2022,Risky
Artificial Intelligence,132,21 of 50 seats remain,"Martinez, Jessica",Spring 2022,42,Spring,2022,Medium risk
Machine Learning,135,3 of 50 seats remain,"Smith, John",Spring 2022,6,Spring,2022,Very Risky
Computer Networks,140,28 of 40 seats remain,"Garcia, Maria",Spring 2022,70,Spring,2022,Low Risk
Data Structures,148,49 of 60 seats remain,"Garcia, Maria",Spring 2022,81.66666667,Spring,2022,No Risk
Computer Architecture,149,7 of 20 seats remain,"Smith, John",Spring 2022,35,Spring,2022,Risky
Computer Architecture,149,FULL: 0 of 30 seats remain,"Jones, Robert",Spring 2022,0,Spring,2022,Very Risky
Computer Architecture,150,31 of 70 seats remain,"Jones, Robert",Spring 2022,44.28571429,Spring,2022,Medium risk
Machine Learning,150,12 of 30 seats remain,"Martinez, Jessica",Spring 2022,40,Spring,2022,Risky
Artificial Intelligence,152,15 of 20 seats remain,"Smith, John",Spring 2022,75,Spring,2022,Low Risk
Intro to Programming,161,49 of 60 seats remain,"Davis, Elizabeth",Spring 2022,81.66666667,Spring,2022,No Risk
Computer Architecture,163,13 of 40 seats remain,"Smith, John",Spring 2022,32.5,Spring,2022,Risky
Data Structures,163,26 of 40 seats remain,"Garcia, Maria",Spring 2022,65,Spring,2022,Low Risk
Data Structures,163,21 of 30 seats remain,"Johnson, Emily",Spring 2022,70,Spring,2022,Low Risk
Operating Systems,163,22 of 70 seats remain,"Garcia, Maria",Spring 2022,31.42857143,Spring,2022,Risky
Intro to Programming,164,21 of 60 seats remain,"Smith, John",Spring 2022,35,Spring,2022,Risky
Database Systems,170,36 of 40 seats remain,"Martinez, Jessica",Spring 2022,90,Spring,2022,No Risk
Intro to Programming,171,6 of 30 seats remain,"Miller, James",Spring 2022,20,Spring,2022,Very Risky
Software Engineering,172,19 of 40 seats remain,"Smith, John",Spring 2022,47.5,Spring,2022,Medium risk
Data Structures,173,14 of 30 seats remain,"Smith, John",Spring 2022,46.66666667,Spring,2022,Medium risk
Artificial Intelligence,174,51 of 60 seats remain,"Rodriguez, Michael",Spring 2022,85,Spring,2022,No Risk
Software Engineering,175,8 of 70 seats remain,"Smith, John",Spring 2022,11.42857143,Spring,2022,Very Risky
Algorithms,175,8 of 60 seats remain,"Johnson, Emily",Spring 2022,13.33333333,Spring,2022,Very Risky
Artificial Intelligence,176,31 of 70 seats remain,"Johnson, Emily",Spring 2022,44.28571429,Spring,2022,Medium risk
Software Engineering,177,25 of 60 seats remain,"Jones, Robert",Spring 2022,41.66666667,Spring,2022,Medium risk
Machine Learning,182,48 of 50 seats remain,"Davis, Elizabeth",Spring 2022,96,Spring,2022,No Risk
Computer Architecture,187,32 of 40 seats remain,"Williams, David",Spring 2022,80,Spring,2022,Low Risk
Software Engineering,191,38 of 70 seats remain,"Miller, James",Spring 2022,54.28571429,Spring,2022,Medium risk
Software Engineering,199,45 of 60 seats remain,"Brown, Linda",Spring 2022,75,Spring,2022,Low Risk
Data Structures,199,13 of 50 seats remain,"Johnson, Emily",Spring 2022,26,Spring,2022,Risky
Algorithms,200,41 of 60 seats remain,"Martinez, Jessica",Spring 2022,68.33333333,Spring,2022,Low Risk
Intro to Programming,206,4 of 20 seats remain,"Williams, David",Spring 2022,20,Spring,2022,Very Risky
Software Engineering,207,49 of 70 seats remain,"Johnson, Emily",Spring 2022,70,Spring,2022,Low Risk
Operating Systems,207,24 of 50 seats remain,"Rodriguez, Michael",Spring 2022,48,Spring,2022,Medium risk
Computer Architecture,211,23 of 30 seats remain,"Johnson, Emily",Spring 2022,76.66666667,Spring,2022,Low Risk
Artificial Intelligence,212,29 of 60 seats remain,"Williams, David",Spring 2022,48.33333333,Spring,2022,Medium risk
Algorithms,212,30 of 50 seats remain,"Miller, James",Spring 2022,60,Spring,2022,Medium risk
Machine Learning,218,34 of 40 seats remain,"Rodriguez, Michael",Spring 2022,85,Spring,2022,No Risk
Computer Architecture,220,42 of 70 seats remain,"Williams, David",Spring 2022,60,Spring,2022,Medium risk
Data Structures,222,17 of 20 seats remain,"Smith, John",Spring 2022,85,Spring,2022,No Risk
Data Structures,226,31 of 40 seats remain,"Davis, Elizabeth",Spring 2022,77.5,Spring,2022,Low Risk
Software Engineering,227,18 of 60 seats remain,"Johnson, Emily",Spring 2022,30,Spring,2022,Risky
Intro to Programming,228,22 of 30 seats remain,"Garcia, Maria",Spring 2022,73.33333333,Spring,2022,Low Risk
Data Structures,236,11 of 50 seats remain,"Smith, John",Spring 2022,22,Spring,2022,Risky
Artificial Intelligence,236,14 of 50 seats remain,"Brown, Linda",Spring 2022,28,Spring,2022,Risky
Machine Learning,237,9 of 20 seats remain,"Davis, Elizabeth",Spring 2022,45,Spring,2022,Medium risk
Computer Architecture,243,43 of 70 seats remain,"Johnson, Emily",Spring 2022,61.42857143,Spring,2022,Low Risk
Computer Networks,250,4 of 20 seats remain,"Miller, James",Spring 2022,20,Spring,2022,Very Risky
Machine Learning,251,15 of 20 seats remain,"Johnson, Emily",Spring 2022,75,Spring,2022,Low Risk
Operating Systems,252,23 of 30 seats remain,"Miller, James",Spring 2022,76.66666667,Spring,2022,Low Risk
Machine Learning,252,4 of 50 seats remain,"Garcia, Maria",Spring 2022,8,Spring,2022,Very Risky
Algorithms,252,20 of 40 seats remain,"Davis, Elizabeth",Spring 2022,50,Spring,2022,Medium risk
Data Structures,253,39 of 50 seats remain,"Miller, James",Spring 2022,78,Spring,2022,Low Risk
Machine Learning,259,7 of 50 seats remain,"Jones, Robert",Spring 2022,14,Spring,2022,Very Risky
Computer Networks,260,3 of 20 seats remain,"Brown, Linda",Spring 2022,15,Spring,2022,Very Risky
Artificial Intelligence,263,31 of 60 seats remain,"Martinez, Jessica",Spring 2022,51.66666667,Spring,2022,Medium risk
Software Engineering,273,17 of 70 seats remain,"Miller, James",Spring 2022,24.28571429,Spring,2022,Risky
Software Engineering,278,11 of 30 seats remain,"Rodriguez, Michael",Spring 2022,36.66666667,Spring,2022,Risky
Computer Networks,278,17 of 70 seats remain,"Garcia, Maria",Spring 2022,24.28571429,Spring,2022,Risky
Artificial Intelligence,279,28 of 40 seats remain,"Brown, Linda",Spring 2022,70,Spring,2022,Low Risk
Artificial Intelligence,279,11 of 30 seats remain,"Miller, James",Spring 2022,36.66666667,Spring,2022,Risky
Database Systems,281,45 of 60 seats remain,"Jones, Robert",Spring 2022,75,Spring,2022,Low Risk
Computer Networks,281,17 of 20 seats remain,"Davis, Elizabeth",Spring 2022,85,Spring,2022,No Risk
Data Structures,283,16 of 60 seats remain,"Johnson, Emily",Spring 2022,26.66666667,Spring,2022,Risky
Intro to Programming,285,1 of 40 seats remain,"Martinez, Jessica",Spring 2022,2.5,Spring,2022,Very Risky
Algorithms,287,3 of 30 seats remain,"Smith, John",Spring 2022,10,Spring,2022,Very Risky
Software Engineering,291,13 of 30 seats remain,"Miller, James",Spring 2022,43.33333333,Spring,2022,Medium risk
Algorithms,292,25 of 50 seats remain,"Smith, John",Spring 2022,50,Spring,2022,Medium risk
Computer Networks,293,56 of 70 seats remain,"Brown, Linda",Spring 2022,80,Spring,2022,Low Risk
Computer Networks,294,8 of 60 seats remain,"Jones, Robert",Spring 2022,13.33333333,Spring,2022,Very Risky
Software Engineering,295,12 of 50 seats remain,"Brown, Linda",Spring 2022,24,Spring,2022,Risky
Data Structures,298,9 of 30 seats remain,"Davis, Elizabeth",Spring 2022,30,Spring,2022,Risky
Computer Networks,300,25 of 70 seats remain,"Martinez, Jessica",Spring 2022,35.71428571,Spring,2022,Risky
Computer Architecture,300,20 of 70 seats remain,"Martinez, Jessica",Spring 2022,28.57142857,Spring,2022,Risky
Data Structures,304,42 of 70 seats remain,"Williams, David",Spring 2022,60,Spring,2022,Medium risk
Database Systems,309,14 of 20 seats remain,"Davis, Elizabeth",Spring 2022,70,Spring,2022,Low Risk
Intro to Programming,315,38 of 60 seats remain,"Miller, James",Spring 2022,63.33333333,Spring,2022,Low Risk
Algorithms,315,6 of 20 seats remain,"Miller, James",Spring 2022,30,Spring,2022,Risky
Data Structures,315,5 of 70 seats remain,"Williams, David",Spring 2022,7.142857143,Spring,2022,Very Risky
Intro to Programming,318,32 of 40 seats remain,"Miller, James",Spring 2022,80,Spring,2022,Low Risk
Algorithms,322,8 of 30 seats remain,"Garcia, Maria",Spring 2022,26.66666667,Spring,2022,Risky
Operating Systems,323,21 of 30 seats remain,"Garcia, Maria",Spring 2022,70,Spring,2022,Low Risk
Data Structures,323,20 of 50 seats remain,"Martinez, Jessica",Spring 2022,40,Spring,2022,Risky
Data Structures,324,38 of 50 seats remain,"Rodriguez, Michael",Spring 2022,76,Spring,2022,Low Risk
Machine Learning,327,27 of 40 seats remain,"Martinez, Jessica",Spring 2022,67.5,Spring,2022,Low Risk
Data Structures,332,39 of 50 seats remain,"Smith, John",Spring 2022,78,Spring,2022,Low Risk
Database Systems,333,51 of 70 seats remain,"Miller, James",Spring 2022,72.85714286,Spring,2022,Low Risk
Artificial Intelligence,336,7 of 50 seats remain,"Smith, John",Spring 2022,14,Spring,2022,Very Risky
Data Structures,341,12 of 20 seats remain,"Williams, David",Spring 2022,60,Spring,2022,Medium risk
Database Systems,344,14 of 30 seats remain,"Jones, Robert",Spring 2022,46.66666667,Spring,2022,Medium risk
Operating Systems,344,32 of 70 seats remain,"Miller, James",Spring 2022,45.71428571,Spring,2022,Medium risk
Artificial Intelligence,345,27 of 40 seats remain,"Jones, Robert",Spring 2022,67.5,Spring,2022,Low Risk
Data Structures,354,5 of 60 seats remain,"Davis, Elizabeth",Spring 2022,8.333333333,Spring,2022,Very Risky
Operating Systems,355,4 of 20 seats remain,"Brown, Linda",Spring 2022,20,Spring,2022,Very Risky
Algorithms,356,28 of 60 seats remain,"Garcia, Maria",Spring 2022,46.66666667,Spring,2022,Medium risk
Artificial Intelligence,358,3 of 60 seats remain,"Williams, David",Spring 2022,5,Spring,2022,Very Risky
Computer Architecture,359,43 of 60 seats remain,"Smith, John",Spring 2022,71.66666667,Spring,2022,Low Risk
Software Engineering,360,18 of 50 seats remain,"Brown, Linda",Spring 2022,36,Spring,2022,Risky
Computer Networks,362,35 of 60 seats remain,"Johnson, Emily",Spring 2022,58.33333333,Spring,2022,Medium risk
Intro to Programming,365,10 of 20 seats remain,"Jones, Robert",Spring 2022,50,Spring,2022,Medium risk
Algorithms,369,3 of 60 seats remain,"Brown, Linda",Spring 2022,5,Spring,2022,Very Risky
Database Systems,369,18 of 20 seats remain,"Davis, Elizabeth",Spring 2022,90,Spring,2022,No Risk
Computer Architecture,372,29 of 70 seats remain,"Garcia, Maria",Spring 2022,41.42857143,Spring,2022,Medium risk
Intro to Programming,372,5 of 20 seats remain,"Rodriguez, Michael",Spring 2022,25,Spring,2022,Risky
Computer Networks,373,27 of 50 seats remain,"Brown, Linda",Spring 2022,54,Spring,2022,Medium risk
Computer Architecture,373,18 of 40 seats remain,"Miller, James",Spring 2022,45,Spring,2022,Medium risk
Software Engineering,375,35 of 70 seats remain,"Davis, Elizabeth",Spring 2022,50,Spring,2022,Medium risk
Computer Architecture,375,10 of 30 seats remain,"Johnson, Emily",Spring 2022,33.33333333,Spring,2022,Risky
Software Engineering,377,43 of 70 seats remain,"Jones, Robert",Spring 2022,61.42857143,Spring,2022,Low Risk
Algorithms,381,12 of 60 seats remain,"Garcia, Maria",Spring 2022,20,Spring,2022,Very Risky
Software Engineering,384,28 of 40 seats remain,"Smith, John",Spring 2022,70,Spring,2022,Low Risk
Machine Learning,384,23 of 40 seats remain,"Rodriguez, Michael",Spring 2022,57.5,Spring,2022,Medium risk
Computer Networks,387,21 of 40 seats remain,"Martinez, Jessica",Spring 2022,52.5,Spring,2022,Medium risk
Machine Learning,388,10 of 40 seats remain,"Brown, Linda",Spring 2022,25,Spring,2022,Risky
Computer Architecture,388,25 of 50 seats remain,"Johnson, Emily",Spring 2022,50,Spring,2022,Medium risk
Artificial Intelligence,392,12 of 60 seats remain,"Garcia, Maria",Spring 2022,20,Spring,2022,Very Risky
Algorithms,394,25 of 30 seats remain,"Smith, John",Spring 2022,83.33333333,Spring,2022,No Risk
Computer Networks,394,3 of 30 seats remain,"Rodriguez, Michael",Spring 2022,10,Spring,2022,Very Risky
Intro to Programming,397,43 of 50 seats remain,"Williams, David",Spring 2022,86,Spring,2022,No Risk
Computer Networks,397,16 of 50 seats remain,"Jones, Robert",Spring 2022,32,Spring,2022,Risky
Data Structures,398,5 of 20 seats remain,"Garcia, Maria",Spring 2022,25,Spring,2022,Risky
Software Engineering,400,31 of 50 seats remain,"Garcia, Maria",Spring 2022,62,Spring,2022,Low Risk
Computer Architecture,401,52 of 60 seats remain,"Garcia, Maria",Spring 2022,86.66666667,Spring,2022,No Risk
Algorithms,401,19 of 30 seats remain,"Jones, Robert",Spring 2022,63.33333333,Spring,2022,Low Risk
Computer Architecture,401,5 of 60 seats remain,"Garcia, Maria",Spring 2022,8.333333333,Spring,2022,Very Risky
Machine Learning,403,2 of 60 seats remain,"Garcia, Maria",Spring 2022,3.333333333,Spring,2022,Very Risky
Operating Systems,409,50 of 60 seats remain,"Jones, Robert",Spring 2022,83.33333333,Spring,2022,No Risk
Software Engineering,410,50 of 70 seats remain,"Brown, Linda",Spring 2022,71.42857143,Spring,2022,Low Risk
Software Engineering,414,11 of 20 seats remain,"Garcia, Maria",Spring 2022,55,Spring,2022,Medium risk
Database Systems,418,36 of 50 seats remain,"Brown, Linda",Spring 2022,72,Spring,2022,Low Risk
Database Systems,419,31 of 40 seats remain,"Miller, James",Spring 2022,77.5,Spring,2022,Low Risk
Intro to Programming,420,20 of 30 seats remain,"Johnson, Emily",Spring 2022,66.66666667,Spring,2022,Low Risk
Operating Systems,424,26 of 40 seats remain,"Williams, David",Spring 2022,65,Spring,2022,Low Risk
Operating Systems,424,5 of 50 seats remain,"Rodriguez, Michael",Spring 2022,10,Spring,2022,Very Risky
Computer Architecture,425,4 of 60 seats remain,"Williams, David",Spring 2022,6.666666667,Spring,2022,Very Risky
Algorithms,430,3 of 20 seats remain,"Johnson, Emily",Spring 2022,15,Spring,2022,Very Risky
Database Systems,431,50 of 60 seats remain,"Martinez, Jessica",Spring 2022,83.33333333,Spring,2022,No Risk
Computer Architecture,432,17 of 30 seats remain,"Johnson, Emily",Spring 2022,56.66666667,Spring,2022,Medium risk
Machine Learning,435,19 of 50 seats remain,"Smith, John",Spring 2022,38,Spring,2022,Risky
Intro to Programming,436,5 of 30 seats remain,"Williams, David",Spring 2022,16.66666667,Spring,2022,Very Risky
Computer Architecture,439,FULL: 0 of 30 seats remain,"Garcia, Maria",Spring 2022,0,Spring,2022,Very Risky
Intro to Programming,443,FULL: 0 of 50 seats remain,"Brown, Linda",Spring 2022,0,Spring,2022,Very Risky
Software Engineering,445,44 of 70 seats remain,"Williams, David",Spring 2022,62.85714286,Spring,2022,Low Risk
Computer Architecture,445,3 of 20 seats remain,"Davis, Elizabeth",Spring 2022,15,Spring,2022,Very Risky
Database Systems,447,3 of 60 seats remain,"Johnson, Emily",Spring 2022,5,Spring,2022,Very Risky
Operating Systems,448,11 of 20 seats remain,"Johnson, Emily",Spring 2022,55,Spring,2022,Medium risk
Computer Networks,453,36 of 50 seats remain,"Martinez, Jessica",Spring 2022,72,Spring,2022,Low Risk
Computer Networks,457,1 of 40 seats remain,"Brown, Linda",Spring 2022,2.5,Spring,2022,Very Risky
Operating Systems,459,5 of 20 seats remain,"Smith, John",Spring 2022,25,Spring,2022,Risky
Database Systems,459,39 of 50 seats remain,"Jones, Robert",Spring 2022,78,Spring,2022,Low Risk
Machine Learning,459,8 of 20 seats remain,"Garcia, Maria",Spring 2022,40,Spring,2022,Risky
Database Systems,461,22 of 40 seats remain,"Jones, Robert",Spring 2022,55,Spring,2022,Medium risk
Database Systems,462,3 of 40 seats remain,"Smith, John",Spring 2022,7.5,Spring,2022,Very Risky
Computer Architecture,465,23 of 50 seats remain,"Garcia, Maria",Spring 2022,46,Spring,2022,Medium risk
Machine Learning,465,17 of 20 seats remain,"Williams, David",Spring 2022,85,Spring,2022,No Risk
Algorithms,467,5 of 40 seats remain,"Rodriguez, Michael",Spring 2022,12.5,Spring,2022,Very Risky
Data Structures,469,36 of 70 seats remain,"Miller, James",Spring 2022,51.42857143,Spring,2022,Medium risk
Software Engineering,470,11 of 20 seats remain,"Jones, Robert",Spring 2022,55,Spring,2022,Medium risk
Data Structures,471,20 of 30 seats remain,"Davis, Elizabeth",Spring 2022,66.66666667,Spring,2022,Low Risk
Artificial Intelligence,476,3 of 60 seats remain,"Jones, Robert",Spring 2022,5,Spring,2022,Very Risky
Algorithms,479,14 of 30 seats remain,"Rodriguez, Michael",Spring 2022,46.66666667,Spring,2022,Medium risk
Computer Architecture,480,12 of 40 seats remain,"Rodriguez, Michael",Spring 2022,30,Spring,2022,Risky
Computer Architecture,481,41 of 50 seats remain,"Rodriguez, Michael",Spring 2022,82,Spring,2022,No Risk
Data Structures,488,15 of 70 seats remain,"Rodriguez, Michael",Spring 2022,21.42857143,Spring,2022,Risky
Database Systems,488,12 of 40 seats remain,"Brown, Linda",Spring 2022,30,Spring,2022,Risky
Software Engineering,489,16 of 20 seats remain,"Davis, Elizabeth",Spring 2022,80,Spring,2022,Low Risk
Database Systems,493,54 of 70 seats remain,"Miller, James",Spring 2022,77.14285714,Spring,2022,Low Risk
Software Engineering,494,14 of 30 seats remain,"Jones, Robert",Spring 2022,46.66666667,Spring,2022,Medium risk
Data Structures,500,33 of 60 seats remain,"Johnson, Emily",Spring 2022,55,Spring,2022,Medium risk
Database Systems,502,9 of 40 seats remain,"Garcia, Maria",Spring 2022,22.5,Spring,2022,Risky
Software Engineering,502,34 of 50 seats remain,"Garcia, Maria",Spring 2022,68,Spring,2022,Low Risk
Artificial Intelligence,507,29 of 40 seats remain,"Smith, John",Spring 2022,72.5,Spring,2022,Low Risk
Data Structures,507,36 of 50 seats remain,"Martinez, Jessica",Spring 2022,72,Spring,2022,Low Risk
Computer Architecture,509,22 of 30 seats remain,"Miller, James",Spring 2022,73.33333333,Spring,2022,Low Risk
Machine Learning,513,31 of 70 seats remain,"Miller, James",Spring 2022,44.28571429,Spring,2022,Medium risk
Algorithms,515,19 of 40 seats remain,"Garcia, Maria",Spring 2022,47.5,Spring,2022,Medium risk
